GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;1;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;4;19;3736,6;0;322,59;115,67;01/03/2012
23;1;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;7;38;8388,68;4652,08;0;87,14;01/03/2012
24;1;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;7;79;12552,67;4163,99;0;73,99;01/03/2012
25;1;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;15882,37;3329,71;0;240,07;01/03/2012
26;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;3;19;5729,57;0;862,09;142,54;01/03/2012
27;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;7;39;10670,6;4941,02;0;110,87;01/03/2012
28;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;7;66;14274,59;3603,99;0;95,22;01/03/2012
29;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;17988,05;3713,46;0;321,03;01/03/2012
30;1;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;3;16;5107,4;0;1138,67;143,76;01/03/2012
31;1;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;5;30;8222,64;3115,24;0;112,26;01/03/2012
32;1;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;6;65;12151,75;3929,11;0;199,75;01/03/2012
33;1;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;15946,94;3795,19;0;352,84;01/03/2012
34;1;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;3;13;4911,25;0;979,86;149,55;01/03/2012
35;1;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;4;22;6880,32;1969,07;0;137,57;01/03/2012
36;1;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;5;41;10081,71;3201,39;0;119,76;01/03/2012
37;1;C;01C064;Interventions sur le système vasculaire précérébral, niveau 4;7;74;14033,85;3952,14;0;353,57;01/03/2012
38;1;C;01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;0;6;2633,14;0;0;79,78;01/03/2012
39;1;C;01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;5;40;7026,13;4392,99;0;66,6;01/03/2012
40;1;C;01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;0;81;9756,67;0;0;67,1;01/03/2012
41;1;C;01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;14;138;13580,98;3824,31;0;184,04;01/03/2012
