GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;1;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;0;16;3557,37;0;0;112,36;01/03/2015
23;1;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;5;26;7241,07;3683,7;0;86,24;01/03/2015
24;1;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;5;62;11850,13;4609,06;0;61,98;01/03/2015
25;1;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;15692,83;3842,7;0;237,21;01/03/2015
26;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;0;19;5552,98;0;0;142,03;01/03/2015
27;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;5;29;9716,93;4163,95;0;105,93;01/03/2015
28;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;6;49;13963,52;4246,59;0;67,93;01/03/2015
29;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;17767,35;3803,83;0;317,09;01/03/2015
30;1;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;0;16;4890,74;0;0;158,03;01/03/2015
31;1;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;5;30;8112,82;3222,08;0;139,33;01/03/2015
32;1;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;7;40;12304,19;4191,37;0;75,73;01/03/2015
33;1;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;15636,41;3332,22;0;345,97;01/03/2015
34;1;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;0;13;4857,03;0;0;148,14;01/03/2015
35;1;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;4;22;6835,72;1978,69;0;135,72;01/03/2015
36;1;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;5;41;9985,82;3150,1;0;118,41;01/03/2015
37;1;C;01C064;Interventions sur le système vasculaire précérébral, niveau 4;7;74;13893,41;3907,59;0;350,03;01/03/2015
38;1;C;01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;0;6;2412,96;0;0;99,07;01/03/2015
39;1;C;01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;0;20;5116,22;0;0;87,92;01/03/2015
40;1;C;01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;0;60;9333,86;0;0;78,93;01/03/2015
41;1;C;01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;14;138;15490,66;6156,8;0;209,93;01/03/2015
42;1;C;01C08J;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;0;0;2412,96;0;0;0;01/03/2015
43;1;C;01C091;Pose d'un stimulateur cérébral, niveau 1;0;18;7587,12;0;0;232,45;01/03/2015
44;1;C;01C092;Pose d'un stimulateur cérébral, niveau 2;6;39;12468,53;4881,41;0;588,42;01/03/2015
45;1;C;01C093;Pose d'un stimulateur cérébral, niveau 3;0;0;17935,38;0;0;0;01/03/2015
46;1;C;01C094;Pose d'un stimulateur cérébral, niveau 4;0;0;22802,15;0;0;0;01/03/2015
47;1;C;01C101;Pose d'un stimulateur médullaire, niveau 1;0;9;2166,99;0;0;348,8;01/03/2015
48;1;C;01C102;Pose d'un stimulateur médullaire, niveau 2;0;17;4957,43;0;0;531,15;01/03/2015
49;1;C;01C103;Pose d'un stimulateur médullaire, niveau 3;0;0;8526,65;0;0;0;01/03/2015
