GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;1;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;0;11;3459,52;0;0;102,32;01/03/2020
23;1;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;0;19;6142,83;0;0;84,55;01/03/2020
24;1;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;0;64;11084,59;0;0;65,6;01/03/2020
25;1;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;15021,14;0;374,91;278,27;01/03/2020
26;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;0;12;5420,53;0;0;125,49;01/03/2020
27;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;0;20;9038,92;0;0;94,72;01/03/2020
28;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;0;43;13050,83;0;0;65,16;01/03/2020
29;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;17090,44;0;384,72;339,52;01/03/2020
30;1;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;0;10;4636,52;0;0;138,92;01/03/2020
31;1;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;0;17;7239,62;0;0;114,58;01/03/2020
32;1;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;0;40;11600,12;0;0;75,37;01/03/2020
33;1;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;14916,39;0;245,65;351,85;01/03/2020
34;1;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;0;8;4740,93;0;0;132,99;01/03/2020
35;1;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;0;15;6480,39;0;0;119,29;01/03/2020
36;1;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;0;33;9502,8;0;0;97,94;01/03/2020
37;1;C;01C064;Interventions sur le système vasculaire précérébral, niveau 4;7;74;13518,57;0;1338,59;378,35;01/03/2020
38;1;C;01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;0;5;2365,99;0;0;94,1;01/03/2020
39;1;C;01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;0;14;4747,98;0;0;81,72;01/03/2020
40;1;C;01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;0;60;8899,59;0;0;76,7;01/03/2020
41;1;C;01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;14;138;14882,09;0;443,15;230,06;01/03/2020
42;1;C;01C08J;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;0;0;2365,99;0;0;0;01/03/2020
43;1;C;01C091;Pose d'un stimulateur cérébral, niveau 1;0;17;6745,21;0;0;214,03;01/03/2020
44;1;C;01C092;Pose d'un stimulateur cérébral, niveau 2;0;39;11453,9;0;0;667,76;01/03/2020
45;1;C;01C093;Pose d'un stimulateur cérébral, niveau 3;0;0;17615,75;0;0;0;01/03/2020
46;1;C;01C094;Pose d'un stimulateur cérébral, niveau 4;0;0;22395,79;0;0;0;01/03/2020
47;1;C;01C101;Pose d'un stimulateur médullaire, niveau 1;0;6;1928,19;0;0;500,57;01/03/2020
48;1;C;01C102;Pose d'un stimulateur médullaire, niveau 2;0;10;4093;0;0;576,06;01/03/2020
49;1;C;01C103;Pose d'un stimulateur médullaire, niveau 3;0;0;8378,27;0;0;0;01/03/2020
50;1;C;01C104;Pose d'un stimulateur médullaire, niveau 4;0;0;10651,74;0;0;0;01/03/2020
51;1;C;01C111;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1;0;10;6870,53;0;0;132,16;01/03/2020
52;1;C;01C112;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2;0;13;9369,6;0;0;82,8;01/03/2020
53;1;C;01C113;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3;0;39;11522,3;0;0;93,15;01/03/2020
54;1;C;01C114;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4;6;60;13478,37;0;1304,05;484,15;01/03/2020
55;1;C;01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;0;10;4821,55;0;0;92,39;01/03/2020
56;1;C;01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;0;27;7755,92;0;0;64,27;01/03/2020
57;1;C;01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;0;45;8912,89;0;0;74,13;01/03/2020
58;1;C;01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;15;92;12397,64;0;232,32;355,8;01/03/2020
65;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;0;12;11978,53;0;0;125,49;01/03/2020
66;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;0;20;15596,93;0;0;94,72;01/03/2020
