GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;1;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;0;16;3581,73;0;0;113,13;01/03/2014
23;1;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;5;26;7290,65;3708,92;0;86,83;01/03/2014
24;1;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;5;62;11931,26;4640,61;0;62,4;01/03/2014
25;1;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;15800,27;3869,01;0;238,83;01/03/2014
26;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;0;19;5578,02;0;0;142,88;01/03/2014
27;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;5;29;9772,33;4194,31;0;106,49;01/03/2014
28;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;6;49;14049,89;4277,57;0;68,14;01/03/2014
29;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;17865,64;3815,74;0;318,84;01/03/2014
30;1;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;0;16;4924,22;0;0;159,11;01/03/2014
31;1;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;5;30;8168,36;3244,14;0;140,28;01/03/2014
32;1;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;7;40;12388,43;4220,07;0;76,25;01/03/2014
33;1;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;15743,47;3355,04;0;348,34;01/03/2014
34;1;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;0;13;4890,28;0;0;149,15;01/03/2014
35;1;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;4;22;6882,52;1992,24;0;136,65;01/03/2014
36;1;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;5;41;10054,19;3171,68;0;119,22;01/03/2014
37;1;C;01C064;Interventions sur le système vasculaire précérébral, niveau 4;7;74;13988,53;3934,34;0;352,43;01/03/2014
38;1;C;01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;0;6;2429,48;0;0;91,63;01/03/2014
39;1;C;01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;0;20;5151,25;0;0;79,44;01/03/2014
40;1;C;01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;0;60;9397,76;0;0;65,73;01/03/2014
41;1;C;01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;14;138;14524,6;5126,84;0;196,83;01/03/2014
42;1;C;01C08J;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;0;0;2429,48;0;0;0;01/03/2014
