GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;1;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;3;16;3626,67;0;313,1;112,47;01/03/2013
23;1;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;5;26;7269,68;3643,01;0;86,77;01/03/2013
24;1;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;5;62;11910,88;4641,21;0;62,3;01/03/2013
25;1;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;15773,48;3862,6;0;238,42;01/03/2013
26;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;4;19;5796,47;0;872,16;140,02;01/03/2013
27;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;5;29;9736,21;3939,74;0;106,6;01/03/2013
28;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;6;49;14030,28;4294,07;0;68;01/03/2013
29;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;17838,05;3807,77;0;318,35;01/03/2013
30;1;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;3;16;5058,13;0;1127,69;156,72;01/03/2013
31;1;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;5;30;8138,12;3080;0;140,31;01/03/2013
32;1;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;7;40;12371,04;4232,92;0;75,99;01/03/2013
33;1;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;15714,77;3343,73;0;347,7;01/03/2013
34;1;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;3;13;4911,45;0;979,9;148,33;01/03/2013
35;1;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;4;22;6869,18;1957,72;0;136,36;01/03/2013
36;1;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;5;41;10040,15;3170,98;0;118,77;01/03/2013
37;1;C;01C064;Interventions sur le système vasculaire précérébral, niveau 4;7;74;13959,66;3919,5;0;351,71;01/03/2013
38;1;C;01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;0;6;2608,09;0;0;90,01;01/03/2013
39;1;C;01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;0;20;5338,79;0;0;77,54;01/03/2013
