GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;1;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;4;19;3 753.62;0;324.05;116.20;01/03/2010
23;1;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;7;38;8 426.88;4 673.26;0;87.53;01/03/2010
24;1;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;7;79;12 805.25;4 378.37;0;69.99;01/03/2010
25;1;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;15 954.70;3 149.44;0;241.16;01/03/2010
26;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;3;19;5 755.54;0;865.97;143.18;01/03/2010
27;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;7;39;10 802.69;5 047.15;0;110.10;01/03/2010
28;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;7;66;14 580.69;3 778.00;0;89.45;01/03/2010
29;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;18 069.38;3 488.68;0;322.48;01/03/2010
30;1;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;3;16;5 127.03;0;1 142.67;145.72;01/03/2010
31;1;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;5;30;8 287.28;3 160.25;0;113.71;01/03/2010
32;1;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;6;65;12 267.27;3 979.99;0;205.63;01/03/2010
33;1;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;16 174.20;3 906.92;0;357.87;01/03/2010
34;1;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;3;13;4 933.61;0;984.32;150.23;01/03/2010
35;1;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;4;22;6 911.42;1 977.81;0;138.20;01/03/2010
36;1;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;5;41;10 127.62;3 216.20;0;120.31;01/03/2010
37;1;C;01C064;Interventions sur le système vasculaire précérébral, niveau 4;7;74;14 097.75;3 970.13;0;355.18;01/03/2010
38;1;C;01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;0;6;2 729.00;0;0;82.68;01/03/2010
39;1;C;01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;5;40;7 058.13;4 329.13;0;66.89;01/03/2010
40;1;C;01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;4;81;9 800.82;2 742.69;0;67.40;01/03/2010
41;1;C;01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;14;138;13 642.84;3 842.02;0;184.88;01/03/2010
42;1;C;01C08J;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;0;0;1 357.36;0;0;0;01/03/2010
43;1;C;01C091;Pose d'un stimulateur cérébral, niveau 1;3;22;8 682.12;0;2 368.24;224.77;01/03/2010
44;1;C;01C092;Pose d'un stimulateur cérébral, niveau 2;6;39;12 503.15;3 821.03;0;590.06;01/03/2010
45;1;C;01C093;Pose d'un stimulateur cérébral, niveau 3;0;0;18 283.74;0;0;0;01/03/2010
46;1;C;01C094;Pose d'un stimulateur cérébral, niveau 4;0;0;23 245.03;0;0;0;01/03/2010
47;1;C;01C101;Pose d'un stimulateur médullaire, niveau 1;2;7;2 761.69;0;460.28;329.34;01/03/2010
48;1;C;01C102;Pose d'un stimulateur médullaire, niveau 2;0;17;6 055.09;0;0;648.76;01/03/2010
49;1;C;01C103;Pose d'un stimulateur médullaire, niveau 3;0;0;8 854.54;0;0;0;01/03/2010
50;1;C;01C104;Pose d'un stimulateur médullaire, niveau 4;0;0;11 257.22;0;0;0;01/03/2010
51;1;C;01C111;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1;4;19;8 021.64;0;1 491.40;150.78;01/03/2010
52;1;C;01C112;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2;4;30;10 053.63;2 031.99;0;138.33;01/03/2010
53;1;C;01C113;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3;0;32;11 777.95;0;0;86.63;01/03/2010
54;1;C;01C114;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4;6;60;14 203.54;2 425.59;0;437.72;01/03/2010
55;1;C;01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;3;16;5 391.59;0;1 120.24;112.99;01/03/2010
56;1;C;01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;0;31;8 122.83;0;0;82.09;01/03/2010
57;1;C;01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;5;45;9 272.08;1 149.26;0;100.14;01/03/2010
58;1;C;01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;15;92;13 978.86;4 706.78;0;283.31;01/03/2010
59;1;C;01C131;Libérations du canal carpien et d'autres nerfs superficiels, niveau 1;0;4;785.00;0;0;111.97;01/03/2010
60;1;C;01C132;Libérations du canal carpien et d'autres nerfs superficiels, niveau 2;0;15;2 646.17;0;0;329.09;01/03/2010
61;1;C;01C133;Libérations du canal carpien et d'autres nerfs superficiels, niveau 3;0;0;3 869.58;0;0;0;01/03/2010
62;1;C;01C134;Libérations du canal carpien et d'autres nerfs superficiels, niveau 4;0;0;4 919.59;0;0;0;01/03/2010
